"day_of_week","casual","member"
1,3247.11116620079,1085.13719971078
2,2780.27907830458,893.870992042295
3,1882.60327015493,242.561785031287
4,2550.45934410322,884.585193818212
5,2775.92948509119,884.47840006817
6,2713.20891056299,928.15454472961
7,2907.82368556069,1066.97785681358
